number	citation_key	zu_uri	status	note
1	padture2016advanced	zu:10627734:B6PEFHRK	OK	
2	lakhdar2021additive	zu:10627734:XM3QE5LF	OK	
3	duan2026review	zu:10627734:3RTTIB8B	OK	
4	novoselov2004electric	zu:10627734:D9JXRAIM	OK	
5	ramirez2021applications	zu:10627734:QNT4R9NT	OK	
6	miranzo2017bulk	zu:10627734:SQU6HHHF	OK	
7	khobragade2024graphene	zu:10627734:JUI8UV3J	OK	
8	almansoori2024advances	zu:10627734:IMN8WWK2	OK	
9	romanmanso2015enhanced	zu:10627734:HHDUYNME	OK	
10	lewis2006direct	zu:10627734:TSC65XDA	OK	
11	shahzad2021direct	zu:10627734:3H35QAJU	OK	
12	cardenascorrea2026additive	zu:10627734:GPCCJXUQ	OK	
13	feilden2016robocasting	zu:10627734:VFZ27M39	OK	
14	allen2022research	zu:10627734:I5M8GGYW	OK	
15	li2024ink	zu:10627734:K66VLVNF	OK	
16	romanmanso2016electrically	zu:10627734:8JXRSCVT	OK	
17	guo2022printed	zu:10627734:F2VAIDFU	OK	
18	liu2024printing	zu:10627734:3IJCIRMT	OK	
19	morenosanabria2022enhanced	zu:10627734:I4LWESR3	OK	
20	morenosanabria2024effective	zu:10627734:DV8H72Q3	OK	
21	morenosanabria2025coaxially	zu:10627734:UZYG5C3Q	OK	
22	budac2024monte	zu:10627734:IF8F74AJ	OK	
23	wu2023printed	zu:10627734:W9T8QFZX	OK	
24	hushein2024electrical	zu:10627734:242BNBYP	OK	
25	han2025development	zu:10627734:FCJPLTVD	OK	
26	han2025additive	zu:10627734:QL25EZL7	OK	
27	cox2025slurry	zu:10627734:GRDI9387	OK	
28	xu2025enhanced	zu:10627734:347L9WIF	OK	
29	xu2026microstructure	zu:10627734:WMDQ27IL	OK	
30	bishop2025review	zu:10627734:8IGA8JU9	OK	
